, lat, lon, total_area, mean_width, mean_length, mean_depth, mean_elev, max_elev, min_elev
6083,30.306,83.904, 1.2000, 1.0000, 1.1000, 45.0000, 5789, 5990, 5588
6084,30.31,83.892, 1.0000, 0.9000, 1.1000, 42.0000, 5805, 5993, 5617
6085,30.301,83.881, 0.8000, 1.0000, 0.8000, 38.0000, 5795, 6010, 5580
6086,30.299,83.87, 0.5000, 0.5000, 1.0000, 32.0000, 5770, 5990, 5550
6087,30.295,83.862, 0.2000, 0.2000, 0.7000, 17.0000, 5745, 5910, 5580
6088,30.297,83.88, 0.0500, 0.2000, 0.3000, 9.0000, 5825, 5900, 5750
6089,30.284,83.878, 0.3000, 0.5000, 0.6000, 20.0000, 5750, 5890, 5610
6090,30.282,83.872, 0.0800, 0.2000, 0.6000, 11.0000, 5728, 5855, 5600
6091,30.28,83.866, 0.2000, 0.4000, 0.6000, 17.0000, 5703, 5800, 5606
6092,30.291,83.886, 0.7000, 0.6000, 1.2000, 36.0000, 5706, 5901, 5510
6093,30.305,83.894, 0.0700, 0.2000, 0.5000, 10.0000, 5875, 5950, 5800
6094,30.296,83.907, 0.5000, 0.5000, 1.1000, 32.0000, 5810, 5990, 5630
6095,30.284,83.915, 0.0700, 0.3000, 0.4000, 10.0000, 5762, 5884, 5640
6096,30.262,83.928, 0.1000, 0.2000, 0.5000, 12.0000, 5680, 5830, 5530
6097,30.269,83.924, 0.0400, 0.2000, 0.3000, 8.0000, 5690, 5770, 5610
6098,30.274,83.922, 0.3000, 0.5000, 0.6000, 20.0000, 5731, 5891, 5570
6099,30.289,83.92, 0.2000, 0.3000, 0.6000, 17.0000, 5735, 5890, 5580
6100,30.294,83.914, 0.1000, 0.3000, 0.5000, 12.0000, 5765, 5890, 5640
6101,30.298,83.929, 0.0500, 0.3000, 0.2000, 9.0000, 5715, 5790, 5640
6102,30.302,83.924, 0.2000, 0.5000, 0.5000, 17.0000, 5731, 5865, 5597
6103,30.303,83.916, 0.6000, 0.4000, 1.4000, 34.0000, 5790, 5990, 5590
6104,30.31,83.92, 0.2000, 0.3000, 0.8000, 17.0000, 5755, 5920, 5590
6105,30.312,83.939, 0.3000, 0.5000, 0.7000, 20.0000, 5740, 5890, 5590
6106,30.323,83.94, 0.3000, 0.5000, 0.6000, 20.0000, 5805, 5950, 5660
6107,30.342,83.946, 0.2000, 0.3000, 0.5000, 17.0000, 5825, 5980, 5670
6108,30.355,83.943, 0.9000, 0.7000, 1.5000, 40.0000, 5830, 5960, 5700
6109,30.323,83.979, 0.2000, 0.4000, 0.6000, 17.0000, 5780, 5890, 5670
6110,30.309,83.982, 0.2000, 0.4000, 0.6000, 17.0000, 5790, 5930, 5650
6111,30.297,83.976, 0.2000, 0.4000, 0.7000, 17.0000, 5805, 5940, 5670
6112,30.277,83.956, 0.0600, 0.2000, 0.4000, 10.0000, 5763, 5905, 5620
6113,30.296,83.98, 0.0700, 0.2000, 0.5000, 10.0000, 5835, 5940, 5730
6114,30.261,83.987, 0.0500, 0.2000, 0.4000, 9.0000, 5700, 5810, 5590
6115,30.272,84.038, 0.1400, 0.4000, 0.5000, 14.0000, 5749, 5860, 5638
6116,30.258,84.058, 0.2000, 0.3000, 0.8000, 17.0000, 5720, 5860, 5580
6117,30.233,84.064, 0.0700, 0.3000, 0.3000, 10.0000, 5832, 5934, 5730
6118,30.235,84.069, 0.0900, 0.2000, 0.5000, 12.0000, 5810, 5920, 5700
6119,30.2,84.148, 0.1200, 0.3000, 0.5000, 13.0000, 5769, 5900, 5638
6120,30.006,84.276, 0.2300, 0.3000, 0.8000, 18.0000, 5853, 6166, 5540
6121,30.002,84.277, 0.0700, 0.2000, 0.4000, 10.0000, 6083, 6166, 6000
6122,30.005,84.281, 0.1500, 0.3000, 0.6000, 15.0000, 5903, 6166, 5640
6123,29.93,84.472, 0.3000, 0.5000, 0.6000, 20.0000, 5805, 5930, 5680
6124,29.932,84.475, 0.2000, 0.4000, 0.6000, 17.0000, 5765, 5850, 5680
6125,29.938,84.477, 0.2000, 0.3000, 0.5000, 17.0000, 5835, 5930, 5740
6126,29.947,84.485, 0.9000, 0.7000, 1.3000, 40.0000, 5981, 6232, 5730
6127,29.935,84.497, 0.0500, 0.2000, 0.4000, 9.0000, 5991, 6141, 5840
6128,29.924,84.496, 0.3000, 0.4000, 0.8000, 20.0000, 5845, 6040, 5650
6129,29.914,84.493, 0.2000, 0.4000, 0.7000, 17.0000, 5830, 6009, 5650
6130,29.907,84.491, 0.3000, 0.5000, 0.7000, 20.0000, 5820, 5970, 5670
6131,29.918,84.507, 1.9000, 0.8000, 2.2000, 53.0000, 5924, 6218, 5630
6132,29.906,84.522, 0.8000, 0.7000, 1.1000, 38.0000, 5961, 6218, 5704
6133,29.899,84.517, 0.5500, 0.5000, 1.1000, 33.0000, 5892, 6045, 5738
6134,29.898,84.525, 0.5000, 0.5000, 0.9000, 32.0000, 5890, 6050, 5730
6135,29.888,84.517, 1.1700, 0.8000, 1.4000, 44.0000, 5843, 6075, 5610
6136,29.883,84.52, 0.3000, 0.3000, 0.8000, 20.0000, 5894, 6075, 5713
6137,29.878,84.518, 0.0300, 0.1000, 0.2000, 2.0000, 5790, 5840, 5740
6138,29.875,84.522, 0.8000, 0.6000, 1.3000, 38.0000, 5814, 6070, 5558
6139,29.865,84.524, 0.5000, 0.4000, 1.2000, 32.0000, 5815, 6070, 5560
6140,29.861,84.525, 0.0500, 0.2000, 0.2000, 9.0000, 5970, 6010, 5930
6141,29.868,84.531, 0.6000, 0.4000, 1.3000, 34.0000, 5785, 5960, 5610
6142,29.867,84.542, 0.1400, 0.3000, 0.6000, 14.0000, 5809, 5968, 5650
6143,29.86,84.552, 0.1200, 0.3000, 0.5000, 13.0000, 5790, 5950, 5630
6144,29.862,84.548, 0.1100, 0.2000, 0.5000, 13.0000, 5795, 5860, 5730
6145,29.87,84.547, 0.3000, 0.4000, 0.7000, 20.0000, 5864, 5968, 5760
6146,29.878,84.54, 2.8000, 1.3000, 2.3000, 61.0000, 5810, 6040, 5580
6147,29.889,84.53, 1.1000, 0.5000, 1.8000, 43.0000, 5849, 6047, 5650
6148,29.914,84.54, 5.4800, 1.8000, 3.1000, 77.0000, 6107, 6603, 5610
6149,29.908,84.558, 1.5000, 1.0000, 1.3000, 49.0000, 6060, 6390, 5730
6150,29.896,84.562, 0.6000, 0.5000, 1.1000, 34.0000, 6055, 6350, 5760
6151,29.892,84.559, 0.1400, 0.3000, 0.6000, 14.0000, 5936, 6062, 5810
6152,29.899,84.572, 2.5000, 0.9000, 2.5000, 59.0000, 5935, 6370, 5500
6153,29.882,84.578, 0.2000, 0.4000, 0.5000, 17.0000, 5905, 6010, 5800
6154,29.878,84.581, 0.2000, 0.3000, 0.8000, 17.0000, 5875, 6010, 5740
6155,29.855,84.596, 0.1300, 0.4000, 0.3000, 14.0000, 5786, 5860, 5712
6156,29.847,84.592, 2.1400, 1.1000, 1.9000, 56.0000, 5845, 6230, 5460
6157,29.844,84.577, 0.2000, 0.4000, 0.6000, 17.0000, 5780, 5910, 5650
6158,29.84,84.581, 0.3000, 0.4000, 0.8000, 20.0000, 5825, 6050, 5600
6159,29.836,84.596, 1.9000, 0.7000, 2.8000, 53.0000, 6037, 6645, 5430
6160,29.826,84.596, 1.8000, 0.9000, 1.9000, 52.0000, 6240, 6950, 5530
6161,29.819,84.589, 1.1000, 0.6000, 1.9000, 43.0000, 5959, 6267, 5650
6162,29.808,84.583, 2.9000, 1.2000, 2.3000, 62.0000, 5763, 6130, 5396
6163,29.802,84.573, 0.2000, 0.4000, 0.6000, 17.0000, 5802, 6063, 5540
6164,29.798,84.572, 0.0900, 0.2000, 0.4000, 12.0000, 5934, 6063, 5805
6165,29.803,84.595, 0.3000, 0.4000, 0.8000, 20.0000, 5940, 6130, 5750
6166,29.807,84.598, 0.5000, 0.5000, 1.0000, 32.0000, 5930, 6130, 5730
6167,29.823,84.621, 10.3000, 1.9000, 4.9000, 96.0000, 6238, 7095, 5380
6168,29.802,84.622, 0.1000, 0.2000, 0.7000, 12.0000, 5975, 6150, 5800
6169,29.794,84.619, 0.1000, 0.2000, 0.7000, 12.0000, 5915, 6080, 5750
6170,29.779,84.597, 0.3000, 0.6000, 0.6000, 20.0000, 5925, 6210, 5640
6171,29.775,84.591, 0.3600, 0.4000, 0.8000, 22.0000, 5854, 6178, 5530
6172,29.774,84.588, 0.1400, 0.3000, 0.4000, 14.0000, 5989, 6178, 5800
6173,29.776,84.575, 0.3000, 0.5000, 0.6000, 20.0000, 5770, 5910, 5630
6174,29.783,84.612, 0.4000, 0.5000, 0.7000, 23.0000, 5830, 5920, 5740
6175,29.794,84.63, 4.0000, 1.1000, 3.5000, 69.0000, 5937, 6420, 5453
